,plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
142,HAT-P-6 b,3.853003,1.05632,0.05235,0.0,85.51,1.33,165.0,0.602,1,Transit,2008,354.7741917,42.46597222,0.67,10.44,261.097,1.29,1.46,6570.0,4.218,-0.13,1.4e-06,0.0522928,0.00087,,0.35,0.061,6.0,0.03,21.3893,0.06,0.06,80.0,0.027,0.08,1.4e-06,0.0522928,0.00087,,0.35,0.061,6.0,-0.03,18.3781,0.06,0.06,80.0,0.03,0.08,8.7,1.0,,2.3,0.5,-0.7,,-4.81
143,HAT-P-7 b,2.2047372,1.682,0.03676,0.0016,83.111,1.431,-177.5,0.497,1,Transit,2008,292.2473417,47.9695,0.44,10.46,320.0,1.5,2.0,6389.0,4.02,0.26,1.1e-06,0.021,0.00019,0.0034,0.03,0.011,9.4,0.001,40.0,0.03,0.01,0.0,0.01,0.08,-1.1e-06,-0.02,-0.00019,-0.001,0.03,0.011,9.4,0.001,40.0,0.03,0.02,34.0,-0.01,0.08,3.8,0.5,0.5,2.07,0.28,0.23,,
144,HAT-P-8 b,3.0763402,1.34,0.0449,0.0,87.8,1.5,-9.7,0.32,1,Transit,2009,343.0410917,35.44708333,0.41,10.36,230.001,1.28,1.58,6200.0,4.15,0.01,1.5e-06,0.05,0.0007,,0.75,0.06,9.0,0.09,14.9886,0.04,0.06,80.0,0.03,0.08,1.5e-06,0.05,0.0007,,0.77,0.06,7.7,-0.19,13.2602,0.04,0.06,80.0,0.03,0.08,11.5,0.5,,3.4,1.0,1.0,,
145,HAT-P-9 b,3.922814,0.775153,0.0528645,0.0,86.5,1.4,16.0,0.52,1,Transit,2009,110.1686625,37.14058333,0.5,12.34,480.0,1.28,1.32,6350.0,4.29,0.12,2e-06,0.0893404,0.00178968,,0.2,0.06,8.0,0.03,60.0,0.13,0.07,150.0,0.03,0.2,2e-06,0.0893404,0.00178968,,0.2,0.06,8.0,-0.03,60.0,0.13,0.07,150.0,0.04,0.2,11.9,1.0,,1.6,1.4,1.4,,
146,HATS-1 b,3.446459,1.855,0.0444,0.12,85.6,1.302,,0.633,1,Transit,2013,175.5253334,-23.35483333,0.686999,12.05,303.0,0.99,1.038,5870.0,4.4,-0.06,4e-06,4e-06,0.0008,0.092,0.6,0.058,,0.02,23.0,0.05,0.075,100.0,0.08,0.12,-4e-06,4e-06,0.0008,0.092,-1.4,0.058,,-0.023,23.0,0.054,0.075,100.0,0.08,0.12,2.52,0.5,,6.0,2.8,2.8,,
147,HATS-10 b,3.312846,0.524155,0.04491,0.5,87.79,0.969,,0.34,1,Transit,2015,294.3075,-22.20447222,0.707,13.113,496.0,1.1,1.105,5880.0,4.39,0.15,5.8e-06,0.0801593,0.00074,0.0,0.72,0.061,,0.11,24.0,0.05,0.04,120.0,0.03,0.1,5.8e-06,0.0801593,-0.00074,0.5,0.72,0.045,,-0.1,24.0,-0.05,0.055,120.0,-0.03,0.1,5.68,0.7,-0.7,3.3,1.7,1.7,,
148,HATS-13 b,3.0440499,0.543,0.04057,0.18,88.55,1.212,,0.249,1,Transit,2015,316.9614666,-26.09638889,0.799,13.88,476.0,0.962,0.887,5523.0,4.524,0.05,2.7e-06,0.072,0.00041,0.0,0.43,0.035,,0.062,12.0,0.029,0.019,69.0,0.017,0.06,-2.7e-06,-0.072,0.00041,0.18,0.43,0.035,,0.071,12.0,0.029,0.019,69.0,0.017,0.06,2.82,0.3,-0.3,2.5,1.7,1.7,,
149,HATS-14 b,2.7667641,1.071,0.03815,0.142,88.83,1.039,,0.18,1,Transit,2015,316.9614666,-26.09638889,0.83,13.88,513.0,0.97,0.933,5346.0,4.484,0.33,2.7e-06,0.07,0.00032,0.0,0.66,0.0032,,0.12,14.0,0.02,0.015,60.0,0.02,0.06,-2.7e-06,0.07,0.00032,0.142,0.66,0.0022,,0.1,14.0,-0.02,0.023,60.0,0.02,0.06,3.8,1.2,-1.2,4.9,1.7,1.7,,
150,HATS-2 b,1.354133,1.345,0.023,0.0,87.2,1.168,,0.271,1,Transit,2013,176.7390417,-22.563,0.016,13.562,360.0,0.882,0.898,5227.0,4.48,0.15,1e-06,0.15,0.0003,,0.7,0.03,,0.055,11.0,0.037,0.019,95.0,0.02,0.05,1e-06,0.15,0.0003,,0.7,0.03,,-0.074,11.0,0.037,0.019,95.0,-0.02,0.05,1.5,0.5,-0.5,9.7,2.9,2.9,,
151,HATS-3 b,3.547851,1.071,0.0485,0.0,86.2,1.381,3.0,0.497,1,Transit,2013,312.4575,-24.42880556,0.02,12.44,453.0,1.209,1.404,6351.0,4.22,-0.157,5e-06,0.136,0.0004,,0.3,0.035,25.0,0.024,11.0,0.036,0.03,76.0,0.01,0.07,5e-06,0.136,0.0006,,-0.3,0.035,25.0,0.027,11.0,0.036,0.03,76.0,-0.01,0.07,9.12,1.31,-1.31,3.2,0.6,0.4,,
152,HATS-4 b,2.516729,1.323,0.0362,0.013,88.5,1.02,,0.217,1,Transit,2014,94.11207501,-22.54666667,0.808,13.45,420.0,1.001,0.93,5403.0,4.51,0.43,2e-06,0.028,0.0002,0.016,0.6,0.037,,0.074,12.0,0.02,0.02,50.0,0.02,0.08,2e-06,0.028,0.0002,0.013,0.6,0.037,,-0.093,12.0,0.02,-0.02,50.0,-0.02,0.08,0.7,0.5,-0.5,2.1,1.6,1.6,,
154,HATS-6 b,3.3252725,0.319,0.03623,0.0,88.21,0.998,,0.427,1,Transit,2015,88.14679583,-19.03138889,1.504,15.16,148.4,0.574,0.57,3724.0,4.683,0.2,2.1e-06,0.07,0.00042,,0.084,0.019,,0.02,3.3,0.02,0.01,18.0,0.01,0.091,-2.1e-06,0.07,0.00057,,0.084,0.019,,-0.021,3.3,0.027,-0.01,18.0,0.01,-0.091,,,,8.1,4.3,-4.3,,
155,HATS-9 b,1.9153073,0.837,0.03048,0.129,86.5,1.065,,0.27,1,Transit,2015,290.8095,-20.16630556,0.804,13.276,622.0,1.03,1.5,5366.0,4.095,0.34,5.2e-06,0.029,0.00038,0.0,1.6,0.098,,0.16,30.0,0.039,0.04,70.0,0.038,0.05,5.2e-06,0.029,0.00038,0.129,2.5,0.098,,-0.12,42.0,0.039,0.1,-70.0,0.038,0.05,4.58,0.9,-0.9,10.8,1.5,1.5,,
166,HD 102195 b,4.113775,0.452799,0.0479747,0.0,,,,,1,RV,2006,176.4266667,2.821752778,0.835,8.07,29.39,0.926,0.835,5291.0,4.45,0.05,0.000557,0.0208431,0.000799589,0.0,,,,,0.22,0.016,0.016,34.0,0.04,0.05,-0.000557,0.0208431,0.000799589,0.0,,,,,-0.22,0.016,0.016,34.0,-0.04,0.05,2.6,1.0,1.0,2.4,1.8,1.8,,
170,HD 102956 b,6.495,0.951497,0.0810025,0.048,,,,,1,RV,2010,177.8438334,57.64077778,0.971,8.02,122.95,1.68,4.4,5054.0,3.5,0.19,0.0004,0.0483033,0.00176791,0.027,,,,,3.72,0.11,0.1,44.0,0.06,0.04,0.0004,0.0483033,0.00176791,0.027,,,,,-3.51,0.11,0.1,44.0,-0.06,0.04,0.3,0.5,0.5,2.3,0.5,-0.5,,-5.09
172,HD 103774 b,5.8881,0.367,0.07,0.09,,,,,1,RV,2013,179.2319166,-12.10786111,0.49,7.12,56.46,1.335,1.43364,6489.0,4.26,0.28,0.0005,0.022,0.001,0.04,,,,,1.35,0.03,0.0510771,77.0,0.13,0.06,0.0005,0.022,0.001,0.04,,,,,-1.29,0.03,0.0510771,77.0,-0.13,0.06,8.1,,,1.05,0.64,0.64,,-4.85
201,HD 118203 b,6.1335,2.13623,0.0702997,0.309,,1.05,,,1,RV,2006,203.5109166,53.72871944,0.699,8.05,91.07,1.23,2.14975,5600.0,3.87,0.1,0.0006,0.0777634,0.00117167,0.014,,,,,2.22,0.03,,150.0,,0.05,-0.0006,0.0777634,0.00117167,0.014,,,,,-2.12,0.03,,150.0,,0.05,4.7,,,4.6,0.8,0.8,,
246,HD 149026 b,2.8758916,0.368,0.04288,0.0,84.55,0.813,12.0,0.571,1,RV,2005,247.6236666,38.34718056,0.611,8.16,76.68,1.34,1.54,6160.0,4.19,0.36,1.4e-06,0.013,0.00033,,0.35,0.027,7.0,0.044,1.3,0.02,0.05,50.0,0.02,0.05,1.4e-06,-0.014,0.00033,,-0.81,-0.025,7.0,-0.038,-1.26,-0.02,-0.04,-50.0,-0.02,0.05,6.0,0.5,-0.5,2.6,0.3,-0.2,,
247,HD 149143 b,4.07206,1.32811,0.0530508,0.08,,1.05,,,1,RV,2006,248.2127501,2.085038889,0.714,7.89,74.33,1.2,1.71219,5884.0,4.071,0.26,0.000320041,0.0784473,0.00147489,0.04,,,,,1.4,0.1,0.0558137,50.0,0.07,0.05,0.000320041,0.0784473,0.00147489,-0.04,,,,,-1.35,0.1,0.0558137,50.0,0.07,0.05,4.0,0.5,0.5,7.6,1.2,1.2,0.155,-5.04
298,HD 179949 b,3.0925,0.902075,0.0439208,0.022,,1.05,,,1,RV,2001,288.888125,-24.17910556,0.548,6.25,27.5482,1.181,1.22645,6260.0,4.34052,0.136947,3e-05,0.0333495,0.000732013,0.015,,,,,0.541679,0.039,0.0409947,43.0,0.06,0.03,3e-05,0.0333495,0.000732013,0.015,,,,,0.521183,0.026,0.0409947,43.0,0.06,0.03,7.02041,0.5,0.5,2.05,,,0.188126,-4.80469
308,HD 185269 b,6.838,0.954212,0.0765701,0.3,,,,,1,RV,2006,294.299,28.50006111,0.606,6.67,47.0,1.28,1.88,5980.0,3.94,-0.025,0.001,0.0690391,0.00199403,0.04,,,,,1.0,0.1,0.1,44.0,0.07,0.03,-0.001,0.0690391,0.00199403,0.04,,,,,1.0,0.1,0.1,44.0,-0.07,0.03,6.1,0.5,-0.5,4.2,,,0.14,-4.5
310,HD 187123 b,3.0965828,0.510056,0.042091,0.0103,,,,,2,RV,1998,296.7417084,34.419825,0.661,7.83,48.2626,1.037,1.14277,5830.0,4.35896,0.121412,7.8e-06,0.0173157,0.000701517,0.0059,,,,,1.26692,0.026,0.0386933,40.0,0.06,0.03,-7.8e-06,0.0173157,0.000701517,-0.0059,,,,,1.20372,0.024,0.0386933,-40.0,0.06,0.03,2.14847,0.5,0.5,5.33,,,0.154643,-5.03427
314,HD 189733 b,2.2185752,1.138,0.03142,0.0041,85.71,1.138,-0.85,0.6636,1,RV,2005,300.1821251,22.71146111,0.931,7.67,19.84,0.85,0.805,4875.0,4.587,-0.03,8e-08,0.025,0.00052,0.002,0.0023,0.027,0.28,0.0019,0.09,0.05,0.016,43.0,0.014,0.08,-8e-08,0.025,0.00052,0.002,0.0023,0.027,0.32,-0.0019,-0.09,-0.05,0.016,43.0,0.015,-0.08,3.5,1.0,,0.6,,,0.525,
347,HD 209458 b,3.52474859,0.69,0.04747,0.0082,86.929,1.359,-4.4,0.507,1,RV,2000,330.7947917,18.88436389,0.594,7.65,48.86,1.148,1.155,6065.0,4.361,0.02,3.8e-07,0.017,0.00055,0.0078,0.009,0.015,1.4,0.005,0.55,0.022,0.014,50.0,0.007,0.05,-3.8e-07,0.017,0.00055,0.0082,-0.01,0.015,1.4,0.005,-0.54,0.022,0.016,50.0,0.007,0.05,4.5,0.3,,4.0,2.0,2.0,0.154471,-5.01402
350,HD 212301 b,2.245715,0.39615,0.034116,0.0147,,1.07,,,1,RV,2006,336.8779584,-77.7177,0.56,7.76,53.49,1.27,,6256.0,4.52,-0.18,2.8e-05,0.0157947,0.000649835,0.0365,,,,,0.91,0.02,,28.0,0.05,0.1,-2.8e-05,0.0157947,0.000649835,0.0147,,,,,-0.88,-0.02,,-28.0,-0.05,0.1,7.0,,,5.9,2.4,2.4,,
358,HD 217107 b,7.126816,1.40112,0.073,0.132,,,,,2,RV,1999,344.56475,-2.395347222,0.744,6.17,20.0,1.108,1.5,5666.0,4.54136,0.389294,3.9e-05,0.0476192,0.001,0.005,,,,,0.13,0.0339999,0.03,40.0,0.06,0.03,-3.9e-05,0.0476192,0.001,0.005,,,,,-0.12,0.0520001,0.03,40.0,0.06,0.03,0.0,0.5,-0.5,7.32,,,0.149812,-5.08275
379,HD 2638 b,3.4442,0.477325,0.0435743,0.0407,,1.04,,,1,RV,2005,7.49970834,-5.763458334,0.886,9.44,56.23,0.93,1.1428,5192.0,4.29,0.16,0.0002,0.0161611,0.000726241,0.0407,,,,,1.16,0.0,0.0447413,38.0,0.12,0.05,-0.0002,0.0161611,0.000726241,0.0351,,,,,-1.11,0.0,0.0447413,38.0,0.12,0.05,1.1,0.0,0.0,3.0,,,,
383,HD 285507 b,6.0881,0.917,0.0588842,0.086,,,,,1,RV,2014,61.75479167,15.33507778,1.415,10.47,44.7,0.73,0.656,4503.0,4.67,0.13,0.0018,0.033,0.000981472,0.019,,,,,0.56,0.03,0.034,61.0,0.05,0.01,0.0018,0.033,0.000981472,0.019,,,,,-0.55,-0.03,0.034,85.0,-0.06,0.01,3.2,0.5,-0.5,0.625,0.05,-0.05,,
393,HD 330075 b,3.38773,0.623724,0.0392074,0.0187,,1.06,,,1,RV,2004,237.4079166,-49.96329722,0.935,9.36,45.66,0.7,1.20726,5017.0,4.22,0.08,8e-05,0.0211874,0.000653457,0.0187,,,,,0.51,0.0,0.0459554,50.0,0.11,0.05,8e-05,0.0211874,0.000653457,0.0684,,,,,-0.5,0.0,0.0459554,50.0,-0.11,0.05,0.7,0.0,0.0,6.2,,,,
445,HD 63454 b,2.818049,0.384566,0.0362523,0.0177,,1.098,,,1,RV,2005,114.8412917,-78.278875,1.006,9.37,38.07,0.8,1.15809,4841.0,4.23,0.11,7.1e-05,0.0161877,0.000604205,0.0177,,,,,0.35,0.0,0.045201,50.0,0.12,0.05,7.1e-05,0.0161877,0.000604205,0.0203,,,,,-0.34,0.0,0.045201,50.0,0.12,0.05,1.9,0.0,0.0,1.0,,,,
452,HD 68988 b,6.27711,1.79992,0.0692771,0.1249,,,,,1,RV,2002,124.59175,61.46064444,0.652,8.2,59.96,1.124,1.10962,5960.48,4.41308,0.324379,0.00021,0.0996517,0.0017874,0.0087,,,,,0.88,0.122,0.0377425,44.0,0.06,0.03,-0.00021,0.0996517,0.0017874,0.0087,,,,,-0.86,0.052,0.0377425,44.0,0.06,0.03,2.83886,0.5,0.5,6.78,,,0.154041,-5.03573
459,HD 73256 b,2.54858,1.86902,0.0371348,0.029,,,,,1,RV,2003,129.0964167,-30.03778611,0.782,8.08,35.88,1.05,1.21851,5636.0,4.66,0.29,0.00016,0.0834996,0.000618915,0.02,,,,,0.35,0.0,0.0458373,50.0,0.1,0.05,0.00016,0.0834996,0.000618915,-0.02,,,,,-0.34,0.0,0.0458373,50.0,-0.1,0.05,3.22,0.0,0.0,0.83,,,0.378,-4.48859
467,HD 75289 b,3.509267,0.46004,0.047858,0.034,,1.03,,,1,RV,2000,131.918375,-41.73623889,0.578,6.35,29.146,1.187,1.23372,6095.03,4.33476,0.216617,6.4e-05,0.0215143,0.000797634,0.029,,,,,0.274395,0.043,0.0412036,44.0,0.06,0.03,-6.4e-05,0.0215143,0.000797634,0.029,,,,,0.269325,0.028,0.0412036,44.0,0.06,0.03,4.13632,0.5,0.5,4.96,,,0.154,-5.01199
471,HD 77338 b,5.7561,0.5,0.0612143,0.09,,,,,1,RV,2013,135.3019583,-25.52640556,0.88,8.59,45.76,0.93,0.88,5370.0,4.52,0.35,0.0015,0.025,0.00109708,0.25,,,,,0.57,0.05,0.04,82.0,0.06,0.06,0.0015,0.025,0.00109708,-0.09,,,,,-0.56,0.05,0.04,82.0,0.06,0.06,2.33,0.05,,3.97,3.0,4.23,,-5.05
482,HD 83443 b,2.98572,0.395855,0.0404623,0.007,,1.04,,,1,RV,2002,144.2992083,-43.27191111,0.811,8.23,40.42,0.991,0.942509,5453.4,4.49053,0.356846,5.3e-05,0.0178185,0.000674371,0.007,,,,,0.37,0.027,0.0335417,44.0,0.06,0.03,5.3e-05,0.0178185,0.000674371,0.0135,,,,,-0.36,0.052,0.0335417,44.0,0.06,0.03,1.27539,0.5,0.5,3.2,,,0.215928,-4.83691
487,HD 86081 b,2.1375,1.49595,0.0346186,0.008,,1.08,,,1,RV,2006,149.0248333,-3.808463889,0.664,8.73,102.86,1.21,1.18909,6028.0,4.36,0.257,0.0002,0.0501969,0.000576981,0.004,,,,,2.5,0.05,0.0405987,44.0,0.07,0.03,-0.0002,0.0501969,0.000576981,-0.004,,,,,-2.38,0.05,0.0405987,44.0,0.07,0.03,4.2,0.5,-0.5,6.21,,,0.16,-5.03
513,HIP 14810 b,6.673859,3.87441,0.0692271,0.1427,,,,,3,RV,2006,47.80929167,21.09748889,0.777,8.52,50.77,0.99,1.31998,5485.0,4.22,0.26,1.86e-05,0.129214,0.00115378,0.00094,,,,,0.81,0.04,0.0437521,44.0,0.06,0.03,1.86e-05,0.129214,0.00115378,0.00094,,,,,-0.78,0.04,0.0437521,44.0,-0.06,0.03,0.54,0.5,-0.5,,,,0.16,-5.01
524,HIP 91258 b,5.0505,1.068,0.057,0.024,,,,,1,RV,2013,279.221475,61.7025,0.01,8.65,45.81,0.95,1.0,5519.0,4.53,0.23,0.0015,0.038,0.0009,0.014,,,,,0.58,0.03,0.04,70.0,0.12,0.05,0.0015,0.038,0.0009,0.014,,,,,-0.57,0.03,-0.04,70.0,-0.12,0.05,3.5,0.5,-0.5,2.4,2.4,2.4,,-4.65
532,K2-22 b,0.381078,1.4,0.00867627,,,0.25,,0.68,1,Transit,2015,169.4827959,2.618888889,1.445,15.597,225.0,0.6,0.57,3830.0,4.65,0.03,1e-06,0.0,0.00033741,,,0.0,,0.006,50.0,0.07,0.06,100.0,0.12,0.08,1e-06,1.4,0.00033741,,,0.25,,0.006,50.0,0.07,0.06,100.0,-0.12,0.08,,,,,,,,
537,KELT-2 A b,4.1137914,1.522,0.05496,0.185,88.6,1.286,,0.16,1,Transit,2012,92.66387501,30.95714722,0.52,8.71,128.5,1.308,1.83,6151.0,4.03,-0.015,1e-05,0.078,0.00039,0.08,1.0,0.065,,0.14,5.2,0.028,0.07,49.0,0.013,0.071,1e-05,-0.077,-0.00036,0.08,-1.4,-0.047,,0.11,3.9,0.025,0.071,50.0,0.028,0.071,9.0,2.0,,,,,,
538,KELT-3 b,2.7033904,1.477,0.04122,0.0,84.6,1.358,,0.611,1,Transit,2013,148.6432833,40.38802778,0.48,9.82,210.53,1.28,1.482,6304.0,4.21,0.048,9.9e-06,0.066,0.00066,,0.4,0.068,,0.034,15.85,0.06,0.062,49.0,0.03,0.079,-1e-05,-0.064,-0.00067,,0.4,0.069,,0.042,-13.78,-0.06,0.064,49.0,-0.03,0.081,10.2,0.5,-0.5,3.0,0.2,0.2,,
539,KELT-6 b,7.845582,0.442,0.08,0.22,88.81,1.18,324.0,0.2,2,Transit,2014,195.9818667,30.64002778,0.49,10.336,244.59,1.085,1.53,6102.0,4.074,-0.27,7e-07,0.019,0.001,0.12,0.79,0.11,11.0,0.14,17.47,0.043,0.14,43.0,0.045,0.06,7e-07,0.019,0.001,0.1,0.91,0.11,11.0,0.14,-15.29,0.04,-0.14,43.0,0.07,0.06,4.53,0.26,-0.26,4.9,0.66,0.46,,
540,KELT-7 b,2.7347749,1.28,0.04415,0.0,83.76,1.533,2.7,0.597,1,Transit,2015,78.2955,33.31828611,0.43,8.54,138.09,1.535,1.73,6789.0,4.149,0.139,3.9e-06,0.18,0.00052,,0.38,0.046,0.6,0.022,5.16,0.054,0.04,50.0,0.019,0.075,3.9e-06,0.18,0.00062,,0.38,-0.047,0.6,-0.025,-4.8,0.066,-0.04,50.0,0.019,-0.081,69.3,0.2,0.2,1.3,0.2,0.2,,
541,KELT-17 b,3.0801716,1.31,0.04881,,84.87,1.525,-116.0,0.57,1,Transit,2016,125.617523,13.735319,,9.286,210.0,1.635,1.65,7454.0,4.22,-0.018,5.3e-06,0.28,0.00065,,0.45,0.065,4.1,0.031,10.0,0.066,0.06,49.0,0.02,0.074,5.3e-06,-0.29,0.00061,,-0.43,0.06,4.1,-0.035,10.0,0.061,-0.06,49.0,-0.02,0.072,44.2,1.5,-1.3,0.65,0.15,-0.15,,
549,KOI-13 b,1.76358799,9.28,0.0342279,0.00064,86.77,1.512,58.6,0.75,1,Transit,2011,286.9712792,46.86830556,0.21,9.95,,1.72,1.74,7650.0,4.2,0.2,3.7e-07,0.16,0.000663332,0.00012,0.048,0.035,2.0,0.01,,0.1,0.04,250.0,0.5,0.2,3.7e-07,-0.16,0.000663332,-0.00016,-0.052,-0.035,2.0,0.01,,-0.1,-0.04,-250.0,-0.5,-0.2,76.96,0.61,0.61,,,,,
811,Kepler-12 b,4.4379637,0.431,0.0556,0.0,88.76,1.695,,0.168,1,Transit,2011,286.2434459,50.04033333,0.16,13.8,600.0,1.17,1.483,5947.0,4.17,0.07,2e-07,0.041,0.0007,0.01,0.08,0.028,,0.01,,0.05,0.025,100.0,0.01,0.04,2e-07,0.041,0.0007,0.0,0.08,0.032,,-0.012,,-0.05,0.029,100.0,-0.01,0.04,0.8,0.5,-0.5,4.0,0.4,0.4,,
1070,Kepler-14 b,6.790123,8.4,0.0806879,0.0350051,90.0,1.136,,0.0,1,Transit,2011,287.7087917,47.333,0.24,12.0,979.998,1.51,2.048,6395.0,3.994,0.12,4.3e-06,0.19,0.0013448,0.018044,0.0,0.054,,0.41,,0.04,0.084,60.0,0.028,0.06,4.3e-06,0.19,0.0013448,0.018044,-2.8,0.054,,0.0,,-0.04,0.084,60.0,0.036,0.06,7.9,1.0,-1.0,2.2,0.1,0.1,,
1194,Kepler-15 b,4.942782,0.66177,0.05714,0.133933,87.44,0.96,,0.554,1,Transit,2011,296.2006041,49.14008333,,13.8,,1.02,0.992,5595.0,4.46,0.36,1.3e-06,0.0789697,0.00086,0.052338,0.18,0.06,,0.023,,0.04,0.058,120.0,0.05,0.07,1.3e-06,0.0789697,-0.00093,0.052338,-0.2,-0.07,,-0.024,,-0.05,0.058,120.0,-0.05,0.07,2.0,2.0,-2.0,3.7,1.5,-3.6,,
1218,Kepler-1517 b,5.54608367,0.696016,0.0714194,0.0,,0.871,,,1,Transit,2016,287.8072083,43.18877778,,,869.0,1.58,1.95,7010.0,4.06,0.01,7.09e-06,0.449896,0.00248612,,,0.00414,,,238.65,0.18,0.53,117.01,0.14,0.144,7.09e-06,0.449896,0.00248612,,,0.41686,,,167.29,0.15,0.37,113.2,-0.16,0.152,,,,1.38,0.26,-0.19,,
1400,Kepler-17 b,1.4857108,2.45,0.02591,0.0,87.22,1.312,0.0,0.268,1,Transit,2011,298.395275,47.815,0.82,13.78,800.0,1.16,1.05,5781.0,4.53,0.26,2e-07,0.014,0.00037,0.011,0.15,0.018,,0.014,100.0,0.06,0.03,85.0,0.12,0.1,2e-07,0.014,0.00037,0.0,0.15,0.018,,0.012,100.0,0.06,0.03,85.0,-0.12,0.1,6.0,2.0,-2.0,1.78,,inf,,-4.47
2008,Kepler-40 b,6.87349,2.17681,0.0806644,0.0,89.7,1.17,,0.045,1,Transit,2011,296.8136876,47.52652778,0.139,14.761,2700.0,1.48,2.13,6510.0,3.94,0.1,0.00064,0.336268,0.00134442,,0.1,0.04,,0.011,200.0,0.06,0.06,100.0,0.32,0.1,-0.00064,0.336268,0.00134442,,0.1,0.04,,-0.037,200.0,0.06,0.06,100.0,-0.32,0.1,9.0,2.0,-2.0,2.8,0.3,0.3,,
2028,Kepler-41 b,1.8555582,0.56,0.03101,0.0,82.51,1.29,,0.672,1,Transit,2011,294.5132292,45.98163889,,14.5,730.0,1.15,1.29,5750.0,4.28,-0.09,5.2e-07,0.08,0.0004,,0.09,0.02,,0.005,70.0,0.04,0.02,100.0,0.01,0.16,-5.2e-07,-0.08,-0.0004,,-0.09,-0.02,,-0.005,70.0,-0.04,-0.02,-100.0,-0.01,0.16,6.0,2.0,-2.0,4.4,1.3,-1.1,,
2031,Kepler-412 b,1.720861232,0.939,0.0295963,0.0038,80.559,1.325,,0.7942,1,Transit,2011,286.1103333,43.68096111,,13.73,1056.0,1.17,1.287,5750.0,4.3,0.27,4.7e-08,0.085,0.000769284,0.0087,0.084,0.043,,0.0028,0.036,0.09,0.035,90.0,0.07,0.12,4.7e-08,0.085,0.000769284,0.0032,-0.079,0.043,,-0.0032,0.036,-0.09,0.035,90.0,-0.07,0.12,5.0,1.0,-1.0,5.1,1.7,1.7,,
2039,Kepler-422 b,7.8914483,0.43015,0.0812822,0.016,,1.15,,0.416,1,Transit,2014,282.6296541,46.32333333,,13.642,,1.15,1.24,5972.0,4.31,0.23,5e-07,0.113904,0.0014136,0.119,,0.11,,0.045,,0.06,0.12,84.0,0.0073,0.09,-5.1e-07,0.113904,0.0014136,0.115,,0.11,,0.045,,0.06,0.12,84.0,0.0073,0.09,2.2,1.3,-1.3,,,,,
2040,Kepler-423 b,2.6843285,0.595,0.03585,0.019,87.828,1.192,,0.31,1,Transit,2014,292.8557417,46.39116667,,14.499,,1.07,0.95,5560.0,4.48,-0.1,7e-08,0.081,0.00052,0.028,0.126,0.052,,0.01,,0.05,0.04,80.0,0.04,0.05,-7e-08,0.081,0.00114,0.014,-0.126,0.052,,0.01,,0.05,-0.04,-80.0,0.04,-0.05,2.5,0.5,-0.5,11.0,2.0,-2.0,,
2041,Kepler-424 b,3.3118644,1.03429,0.0436419,0.002,,0.89,,0.934,2,Transit,2014,298.6248917,48.57744444,,14.497,,1.01,0.94,5460.0,4.5,0.44,3.9e-07,0.0994342,0.000777776,0.075,,0.08,,0.065,,0.05,0.056,81.0,0.05,0.14,3.9e-07,0.0994342,0.000777776,0.071,,0.06,,-0.053,,-0.05,0.056,81.0,-0.05,0.14,0.5,1.0,-1.0,,,,,
2044,Kepler-426 b,3.21751883,0.341143,0.0413383,0.18,85.74,1.09,,0.718,1,Transit,2010,289.4346291,49.47338889,0.663,15.073,880.0,0.91,0.92,5725.0,4.47,-0.21,1.9e-07,0.0698569,0.000908534,0.18,0.06,0.03,,0.007,30.0,0.06,0.02,90.0,0.01,0.08,1.9e-07,0.0698569,0.000908534,0.0,0.06,0.03,,0.007,30.0,0.06,-0.02,90.0,-0.01,0.08,3.0,1.0,-1.0,6.0,4.0,4.0,,
2046,Kepler-428 b,3.52563254,1.28426,0.0432987,0.22,89.36,1.08,,0.13,1,Transit,2010,290.5817208,40.57722222,,15.4,730.0,0.87,0.8,5150.0,4.57,0.09,1.5e-07,0.1843,0.000829477,0.22,0.043,0.03,,0.09,25.0,0.05,0.02,100.0,0.01,0.17,1.5e-07,0.1843,0.000829477,0.0,0.043,0.03,,-0.09,25.0,0.05,0.02,100.0,-0.01,0.17,2.0,2.0,-2.0,5.0,4.0,4.0,,
2047,Kepler-43 b,3.0240949,3.21573,0.0449,0.0,84.646,1.2,,0.6508,1,Transit,2011,285.240875,46.66822222,,14.0,1950.0,1.32,1.42,6041.0,4.26,0.33,6e-07,0.183829,0.001,0.025,0.107,0.06,,0.0071,250.0,0.09,0.07,143.0,0.05,0.11,-6e-07,0.183829,0.001,0.0,-0.091,0.06,,-0.0087,250.0,0.09,0.07,143.0,-0.05,0.11,5.5,1.5,-1.5,2.8,1.0,0.8,,
